Player,Year,Scaled_Score
Shaun Marsh,2008,0.6755872862662295
Gautam Gambhir,2008,0.5867247824541016
Sanath Jayasuriya,2008,0.32726590445101306
Shane Watson,2008,0.45937166893097325
Graeme Smith,2008,0.5164210985085477
Adam Gilchrist,2008,0.4953744321103615
Yusuf Pathan,2008,0.31930457476754937
Suresh Raina,2008,0.4723086748917793
MS Dhoni,2008,0.4744620679437223
Virender Sehwag,2008,0.4416371702445408
Rohit Sharma,2008,0.4522908528740445
Rahul Dravid,2008,0.4323443672909333
Sourav Ganguly,2008,0.32143950594521814
Shikhar Dhawan,2008,0.4161875484160011
Robin Uthappa,2008,0.3944499323791985
Kumar Sangakkara,2008,0.3660876076522138
David Hussey,2008,0.37895234772670683
Swapnil Asnodkar,2008,0.3694047983657539
Parthiv Patel,2008,0.38718133563569274
Yuvraj Singh,2008,0.21099852073965103
Venugopal Rao,2008,0.20458053065690363
Albie Morkel,2008,0.1886664522832725
Mark Boucher,2008,0.2839970427467076
James Hopes,2008,0.2712333083671314
Abhishek Nayar,2008,0.15919420981627336
Jacques Kallis,2008,0.1834404768715927
Stephen Fleming,2008,0.254346476877648
Salman Butt,2008,0.2524236483908054
Subramaniam Badrinath,2008,0.2515877937128884
Matthew Hayden,2008,0.25447547770531803
Brendon McCullum,2008,0.2493804565513215
Sachin Tendulkar,2008,0.25391883029824863
Mahela Jayawardena,2008,0.23416049804922293
Dwayne Bravo,2008,0.22635931311798668
Mohammad Kaif,2008,0.23980965541897875
Michael Hussey,2008,0.23879569217221677
Herschelle Gibbs,2008,0.2252631612234115
Virat Kohli,2008,0.22537746693156327
Laxmi Ratan Shukla,2008,0.21770624251467346
Andrew Symonds,2008,0.2324082445572951
Wriddhiman Saha,2008,0.21685076334170364
VVS Laxman,2008,0.2131352232807152
Luke Pomersbach,2008,0.25721509441753804
Ross Taylor,2008,0.20364087397270186
Shaun Pollock,2008,0.3444022225416802
Vidyut Sivaramakrishnan,2008,0.19731695019721687
Dinesh Karthik,2008,0.19821046926818026
Ravindra Jadeja,2008,0.18785124707155568
Irfan Pathan,2008,0.4214962928053194
Kamran Akmal,2008,0.18120384465249717
MF Maharoof,2008,0.2042951642205974
Misbah-ul-Haq,2008,0.16620840525493755
Wasim Jaffer,2008,0.16620077867392172
Cameron White,2008,0.16378752382492756
Scott Styris,2008,0.1481381416239439
Praveen Kumar,2008,0.25148905622846135
Dwaraka Ravi Teja,2008,0.15768458488473025
Manoj Tiwary,2008,0.1595290083984468
Tillakaratne Dilshan,2008,0.15452987754966135
Debabrata Das,2008,0.15258454134811353
Niraj Patel,2008,0.16564059699760106
Simon Katich,2008,0.17577902037310905
AB de Villiers,2008,0.14387107953045186
Piyush Chawla,2008,0.2205568647997107
Shreevats Goswami,2008,0.13377283521590524
Shahid Afridi,2008,0.17299241231922383
Karan Goel,2008,0.12353061593291362
Ramnaresh Sarwan,2008,0.11871405799308009
Shane Warne,2008,0.2977224079492603
Ajit Agarkar,2008,0.15518568592723092
Shoaib Malik,2008,0.09572782183265068
Arjun Yadav,2008,0.0948248160389603
Sanjay Bangar,2008,0.08960507238322939
Balachandra Akhil,2008,0.07356984213321016
Dwayne Smith,2008,0.08792889868728869
Aakash Chopra,2008,0.08133339422197203
LPC Silva,2008,0.09207738673155337
Ricky Ponting,2008,0.0768817960858712
Umar Gul,2008,0.09379309989655472
Dominic Thornely,2008,0.05859764286819166
Amit Mishra,2008,0.09947521436803236
Sohail Tanvir,2008,0.20689695147115023
Manpreet Gony,2008,0.30307341622186956
Luke Ronchi,2008,0.07435218937284298
Mahesh Rawat,2008,0.07589164265301224
Rajat Bhatia,2008,0.07419797214676556
Zaheer Khan,2008,0.1825076611208405
Pinal Shah,2008,0.07217201028025919
Dinesh Salunkhe,2008,0.08179043104040794
Tatenda Taibu,2008,0.07137493955702026
Harbhajan Singh,2008,0.08548811374096911
Murali Kartik,2008,0.06969952969564261
Ramesh Powar,2008,0.07669059634522052
RP Singh,2008,0.2319461399334977
Saurabh Tiwary,2008,0.06991807656882724
Wilkin Mota,2008,0.06911812262593602
Shivnarine Chanderpaul,2008,0.05924876874894961
Vinay Kumar,2008,0.07915512707407799
Musavir Khote,2008,0.06404737632127028
Jagadeesh Arunkumar,2008,0.05988279805120394
Chaminda Vaas,2008,0.048937776871557356
Bharat Chipli,2008,0.05117752085707146
Mohammad Hafeez,2008,0.05694797479029071
Darren Lehmann,2008,0.05338141675647276
Siddharth Chitnis,2008,0.07223395299924133
Jacob Oram,2008,0.06991807656882724
Brett Lee,2008,0.06565825465917013
Chamara Kapugedera,2008,0.04467009410177897
Joginder Sharma,2008,0.06397910912047013
Yo Mahesh,2008,0.06686399959993376
Devraj Patil,2008,0.04608501089438497
Anil Kumble,2008,0.14692290303036026
Brad Hodge,2008,0.03940691613709207
Ishant Sharma,2008,0.1189448802742795
Nuwan Zoysa,2008,0.051989286699828656
Makhaya Ntini,2008,0.2579018299535148
Taruwar Kohli,2008,0.03523536233560882
Dimitri Mascarenhas,2008,0.04520609393585432
Ashley Noffke,2008,0.039755878722108694
Tanmay Srivastava,2008,0.0377097228398151
Rohan Raje,2008,0.03813550927750329
Sunil Joshi,2008,0.01785705664998409
Pankaj Singh,2008,0.02679999170376797
Siddharth Trivedi,2008,0.03397245304894348
Sunny Sohal,2008,0.02187526652342955
Ajinkya Rahane,2008,0.019341939526978984
Vikram Singh,2008,0.05724664433558109
Glenn McGrath,2008,0.34073687008481673
Younis Khan,2008,0.018325651103077985
Doddapaneni Kalyankrishna,2008,0.01807592707835261
Mohammad Asif,2008,0.052989532510373166
Ashish Nehra,2008,0.17176584815859264
Manish Pandey,2008,0.017222401054179506
Ashok Dinda,2008,0.12713900194207914
Pragyan Ojha,2008,0.14058381129994152
Pradeep Sangwan,2008,0.04939826842415496
Shoaib Akhtar,2008,0.03012417253081837
Halhadar Das,2008,0.015513581871207697
Vikrant Yeligati,2008,0.03166891263277111
Dilhara Fernando,2008,0.07005820574279967
Dhawal Kulkarni,2008,0.02380764320051527
Dale Steyn,2008,0.18377214981185874
Paidikalva Vijaykumar,2008,0.13859882164037884
Srikkanth Anirudha,2008,0.008153745176768803
PM Sarvesh Kumar,2008,0.016094876155950188
Iqbal Abdulla,2008,0.01570424639660323
Munaf Patel,2008,0.23837809177619307
Abdur Razzak,2008,0.0007580077473042131
Lakshmipathy Balaji,2008,0.07069979730090005
Abhinav Mukund,2008,0.0003906297593469564
Matthew Hayden,2009,0.6219859077524102
Adam Gilchrist,2009,0.5410920650167892
Suresh Raina,2009,0.40308730047752594
JP Duminy,2009,0.3477329539030417
Herschelle Gibbs,2009,0.4483017789744277
Brad Hodge,2009,0.4363221873331977
Sachin Tendulkar,2009,0.21815622703369714
Rohit Sharma,2009,0.25448439893926034
Jacques Kallis,2009,0.35055516548927323
Yuvraj Singh,2009,0.31134030863038487
MS Dhoni,2009,0.3922499427773906
Kumar Sangakkara,2009,0.4132046251679592
Ravindra Jadeja,2009,0.25902861526346
Brendon McCullum,2009,0.34858767345472685
Ross Taylor,2009,0.33372411810448965
Rahul Dravid,2009,0.3320619884784683
Andrew Symonds,2009,0.20509194228554328
Virat Kohli,2009,0.31162340240566555
Yusuf Pathan,2009,0.23095130671500286
Tirumalasetti Suman,2009,0.1742258741959105
Sanath Jayasuriya,2009,0.28154984031148456
Mahela Jayawardena,2009,0.27544811046339945
Dwayne Bravo,2009,0.1710206293674571
Dwayne Smith,2009,0.25910713755906073
Graeme Smith,2009,0.2834254211988632
Irfan Pathan,2009,0.29242057042705416
Abhishek Nayar,2009,0.14353915658754976
Sourav Ganguly,2009,0.2583947032836803
Subramaniam Badrinath,2009,0.23976333789037052
Robin Uthappa,2009,0.23859051854147406
Chris Gayle,2009,0.1893025201174463
Naman Ojha,2009,0.2244675786135415
Manish Pandey,2009,0.24084621938753165
Mark Boucher,2009,0.2048537793754742
Simon Katich,2009,0.19686809800231012
Ajinkya Rahane,2009,0.19725565852783364
Parthiv Patel,2009,0.19609688324885655
Ravi Bopara,2009,0.19037118104768577
Venugopal Rao,2009,0.09624996698853058
Karan Goel,2009,0.09584901805523335
Roelof van der Merwe,2009,0.11436822582300323
Sunny Sohal,2009,0.16449270354763437
Shane Warne,2009,0.11988438421777858
Rob Quiney,2009,0.15498933255232183
David Hussey,2009,0.14925870097561642
Swapnil Asnodkar,2009,0.14834369726788893
Albie Morkel,2009,0.15841383425921352
Kevin Pietersen,2009,0.09416601017942872
Jacob Oram,2009,0.13967562290798
Harbhajan Singh,2009,0.2636547174596355
Laxmi Ratan Shukla,2009,0.0973421429984932
Lee Carseldine,2009,0.12966266609089078
Abhishek Raut,2009,0.1281931541390618
Wriddhiman Saha,2009,0.12985742292805091
Azhar Bilakhia,2009,0.1150103298319576
Ajit Agarkar,2009,0.0960706026370314
Dwaraka Ravi Teja,2009,0.11580656349142646
Praveen Kumar,2009,0.1137634802054158
Andrew Flintoff,2009,0.07971673956410318
Murali Vijay,2009,0.10355455409659473
Jesse Ryder,2009,0.08220260933916174
Shreevats Goswami,2009,0.09919884626570506
Pinal Shah,2009,0.09990393298132631
Vinay Kumar,2009,0.09238775137606309
Yashpal Singh,2009,0.09053551526715958
Johan Botha,2009,0.08475606432842882
George Bailey,2009,0.09115419840029673
Luke Pomersbach,2009,0.07952124416694435
Shikhar Dhawan,2009,0.07824481492473541
Dimitri Mascarenhas,2009,0.0802886207004577
Moises Henriques,2009,0.07967451984394527
Munaf Patel,2009,0.1752696206713446
Piyush Chawla,2009,0.22286654644649231
Chaminda Vaas,2009,0.08052665737006445
Wilkin Mota,2009,0.04100115396820825
Brett Lee,2009,0.11212306829900949
Amit Mishra,2009,0.2567198083230826
Ramesh Powar,2009,0.13205087548911454
Murali Kartik,2009,0.13686746051682902
Ryan Harris,2009,0.07232872786809963
Joginder Sharma,2009,0.06247202230607534
Shadab Jakati,2009,0.07308644060750194
Rajesh Bishnoi,2009,0.05647920375517969
VVS Laxman,2009,0.04921721051474865
Niraj Patel,2009,0.04822101162132836
Balachandra Akhil,2009,0.05866067300851184
Angelo Mathews,2009,0.05809380676048043
Mahesh Rawat,2009,0.04575492874773678
Ishant Sharma,2009,0.2861776296624797
Anil Kumble,2009,0.319172606801187
Wasim Jaffer,2009,0.046732619231130895
Graham Napier,2009,0.049709962054039165
Scott Styris,2009,0.06845321497127616
Saurabh Tiwary,2009,0.052086107075895366
Manpreet Gony,2009,0.04047058067243116
Rohan Raje,2009,0.05653649611988391
Tyron Henderson,2009,0.02382532133029223
Aakash Chopra,2009,0.03792447620037037
Dillon du Preez,2009,0.038379559870009586
Shane Harwood,2009,0.031721740657368505
Siddharth Trivedi,2009,0.1032689038958447
