City,Date,Season,Team1,Team2,Venue,TossWinner,TossDecision,WinningTeam,method,Umpire1,Umpire2,players_team1,players_team2,Total_Team1_Performance_score,Total_Team2_Performance_score
Bangalore,2008-04-18,2008,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,Kolkata Knight Riders,,Asad Rauf,RE Koertzen,"['Rahul Dravid', 'Wasim Jaffer', 'Virat Kohli', 'Jacques Kallis', 'Cameron White', 'Mark Boucher', 'Balachandra Akhil', 'Ashley Noffke', 'Praveen Kumar', 'Zaheer Khan', 'Sunil Joshi']","['Sourav Ganguly', 'Brendon Mccullum', 'Ricky Ponting', 'David Hussey', 'Mohammad Hafeez', 'Laxmi Ratan Shukla', 'Wriddhiman Saha', 'Ajit Agarkar', 'Ashok Dinda', 'Murali Kartik', 'Ishant Sharma']",2.0203271511942504,1.9891281847950173
Chandigarh,2008-04-19,2008,Kings XI Punjab,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,bat,Chennai Super Kings,,MR Benson,SL Shastri,"['Karan Goel', 'James Hopes', 'Kumar Sangakkara', 'Yuvraj Singh', 'Simon Katich', 'Irfan Pathan', 'Pankaj Dharmani', 'Brett Lee', 'Piyush Chawla', 'Wilkin Mota', 'Shanthakumaran Sreesanth']","['Parthiv Patel', 'Matthew Hayden', 'Michael Hussey', 'Ms Dhoni', 'Suresh Raina', 'Jacob Oram', 'Subramaniam Badrinath', 'Joginder Sharma', 'Palani Amarnath', 'Manpreet Gony', 'Muttiah Muralitharan']",2.101982776445669,3.158087081714461
Delhi,2008-04-19,2008,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,Rajasthan Royals,bat,Delhi Daredevils,,Aleem Dar,GA Pratapkumar,"['Gautam Gambhir', 'Virender Sehwag', 'Shikhar Dhawan', 'Manoj Tiwary', 'Dinesh Karthik', 'Rajat Bhatia', 'Mithun Manhas', 'Daniel Vettori', 'Mf Maharoof', 'Brett Geeves', 'Glenn Mcgrath']","['Taruwar Kohli', 'Yusuf Pathan', 'Shane Watson', 'Mohammad Kaif', 'Darren Lehmann', 'Ravindra Jadeja', 'Mahesh Rawat', 'Dinesh Salunkhe', 'Shane Warne', 'Siddharth Trivedi', 'Munaf Patel']",2.694209321564033,2.0227089517489554
Kolkata,2008-04-20,2008,Kolkata Knight Riders,Deccan Chargers,Eden Gardens,Deccan Chargers,bat,Kolkata Knight Riders,,BF Bowden,K Hariharan,"['Wriddhiman Saha', 'Brendon Mccullum', 'Ricky Ponting', 'Sourav Ganguly', 'David Hussey', 'Mohammad Hafeez', 'Laxmi Ratan Shukla', 'Ajit Agarkar', 'Ashok Dinda', 'Murali Kartik', 'Ishant Sharma']","['Adam Gilchrist', 'Venugopal Rao', 'Vvs Laxman', 'Andrew Symonds', 'Rohit Sharma', 'Scott Styris', 'Sanjay Bangar', 'Chaminda Vaas', 'Rp Singh', 'Pragyan Ojha', 'Arjun Yadav']",1.9891281847950173,2.3518250416304496
Mumbai,2008-04-20,2008,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Mumbai Indians,bat,Royal Challengers Bangalore,,SJ Davis,DJ Harper,"['Luke Ronchi', 'Sanath Jayasuriya', 'Dominic Thornely', 'Robin Uthappa', 'Pinal Shah', 'Abhishek Nayar', 'Shaun Pollock', 'Harbhajan Singh', 'Musavir Khote', 'Ashish Nehra', 'Dhawal Kulkarni']","['Shivnarine Chanderpaul', 'Rahul Dravid', 'Ross Taylor', 'Jacques Kallis', 'Virat Kohli', 'Mark Boucher', 'Balachandra Akhil', 'Praveen Kumar', 'Zaheer Khan', 'Sunil Joshi', 'Vinay Kumar']",1.7755430931308056,1.9926277397690217
Jaipur,2008-04-21,2008,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,Kings XI Punjab,bat,Rajasthan Royals,,Aleem Dar,RB Tiffin,"['Mohammad Kaif', 'Kamran Akmal', 'Yusuf Pathan', 'Shane Watson', 'Darren Lehmann', 'Ravindra Jadeja', 'Pankaj Singh', 'Dinesh Salunkhe', 'Shane Warne', 'Siddharth Trivedi', 'Munaf Patel']","['Karan Goel', 'James Hopes', 'Kumar Sangakkara', 'Mahela Jayawardene', 'Yuvraj Singh', 'Irfan Pathan', 'Sunny Sohal', 'Brett Lee', 'Piyush Chawla', 'Wilkin Mota', 'Shanthakumaran Sreesanth']",2.119585783116599,1.9480790225959896
Hyderabad,2008-04-22,2008,Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,bat,Delhi Daredevils,,IL Howell,AM Saheba,"['Adam Gilchrist', 'Venugopal Rao', 'Vvs Laxman', 'Andrew Symonds', 'Rohit Sharma', 'Shahid Afridi', 'Sanjay Bangar', 'Arjun Yadav', 'Chaminda Vaas', 'Rp Singh', 'Pragyan Ojha']","['Gautam Gambhir', 'Virender Sehwag', 'Shikhar Dhawan', 'Shoaib Malik', 'Dinesh Karthik', 'Manoj Tiwary', 'Rajat Bhatia', 'Mf Maharoof', 'Mohammad Asif', 'Glenn Mcgrath', 'Yo Mahesh']",2.376679312325729,2.637100339176408
Chennai,2008-04-23,2008,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,field,Chennai Super Kings,,DJ Harper,GA Pratapkumar,"['Parthiv Patel', 'Matthew Hayden', 'Michael Hussey', 'Suresh Raina', 'Ms Dhoni', 'Jacob Oram', 'Subramaniam Badrinath', 'Joginder Sharma', 'Palani Amarnath', 'Manpreet Gony', 'Muttiah Muralitharan']","['Luke Ronchi', 'Sanath Jayasuriya', 'Robin Uthappa', 'Shaun Pollock', 'Dwayne Bravo', 'Abhishek Nayar', 'Musavir Khote', 'Harbhajan Singh', 'Ashish Nehra', 'Vikrant Yeligati', 'Dhawal Kulkarni']",3.158087081714461,1.9028016657331128
Hyderabad,2008-04-24,2008,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,field,Rajasthan Royals,,Asad Rauf,MR Benson,"['Adam Gilchrist', 'Vvs Laxman', 'Shahid Afridi', 'Andrew Symonds', 'Rohit Sharma', 'Arjun Yadav', 'Sanjay Bangar', 'Chaminda Vaas', 'Rp Singh', 'Pragyan Ojha', 'Doddapaneni Kalyankrishna']","['Kamran Akmal', 'Graeme Smith', 'Yusuf Pathan', 'Shane Watson', 'Mohammad Kaif', 'Ravindra Jadeja', 'Shane Warne', 'Dinesh Salunkhe', 'Pankaj Singh', 'Siddharth Trivedi', 'Munaf Patel']",2.1901747087471786,2.5826254648686744
Chandigarh,2008-04-25,2008,Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,field,Kings XI Punjab,,Aleem Dar,AM Saheba,"['Karan Goel', 'Irfan Pathan', 'Kumar Sangakkara', 'Yuvraj Singh', 'Ramnaresh Sarwan', 'Mahela Jayawardene', 'Sunny Sohal', 'Brett Lee', 'Piyush Chawla', 'Shanthakumaran Sreesanth', 'Vikram Singh']","['Luke Ronchi', 'Sanath Jayasuriya', 'Robin Uthappa', 'Dwayne Bravo', 'Saurabh Tiwary', 'Shaun Pollock', 'Abhishek Nayar', 'Harbhajan Singh', 'Musavir Khote', 'Dhawal Kulkarni', 'Ashish Nehra']",1.7836882939315835,1.9410508296691689
