Field1_text,Text
Murali Vijay ,Chennai Super Kings
Michael Hussey ,Chennai Super Kings
Suresh Raina ,Chennai Super Kings
Ms Dhoni (c)(wk),Chennai Super Kings
Dwayne Bravo ,Chennai Super Kings
Ravindra Jadeja ,Chennai Super Kings
Albie Morkel ,Chennai Super Kings
Ravichandran Ashwin ,Chennai Super Kings
Ben Hilfenhaus ,Chennai Super Kings
Shadab Jakati ,Chennai Super Kings
Subramaniam Badrinath ,Chennai Super Kings
Virender Sehwag (c),Delhi Daredevils
David Warner ,Delhi Daredevils
Mahela Jayawardene ,Delhi Daredevils
Naman Ojha (wk),Delhi Daredevils
Ross Taylor ,Delhi Daredevils
Venugopal Rao ,Delhi Daredevils
Sunny Gupta ,Delhi Daredevils
Pawan Negi ,Delhi Daredevils
Varun Aaron ,Delhi Daredevils
Umesh Yadav ,Delhi Daredevils
Andre Russell ,Delhi Daredevils
Murali Vijay ,Chennai Super Kings
Michael Hussey ,Chennai Super Kings
Suresh Raina ,Chennai Super Kings
Ms Dhoni (c)(wk),Chennai Super Kings
Dwayne Bravo ,Chennai Super Kings
Ravindra Jadeja ,Chennai Super Kings
Albie Morkel ,Chennai Super Kings
Subramaniam Badrinath ,Chennai Super Kings
Shadab Jakati ,Chennai Super Kings
Ravichandran Ashwin ,Chennai Super Kings
Ben Hilfenhaus ,Chennai Super Kings
Brendon Mccullum (wk),Kolkata Knight Riders
Gautam Gambhir (c),Kolkata Knight Riders
Jacques Kallis ,Kolkata Knight Riders
Shakib Al Hasan ,Kolkata Knight Riders
Yusuf Pathan ,Kolkata Knight Riders
Debabrata Das ,Kolkata Knight Riders
Rajat Bhatia ,Kolkata Knight Riders
Laxmi Ratan Shukla ,Kolkata Knight Riders
Iqbal Abdulla ,Kolkata Knight Riders
Sunil Narine ,Kolkata Knight Riders
Lakshmipathy Balaji ,Kolkata Knight Riders
Sachin Tendulkar ,Mumbai Indians
Rohit Sharma ,Mumbai Indians
Dinesh Karthik (wk),Mumbai Indians
James Franklin ,Mumbai Indians
Ambati Rayudu ,Mumbai Indians
Dwayne Smith ,Mumbai Indians
Kieron Pollard ,Mumbai Indians
Harbhajan Singh (c),Mumbai Indians
Lasith Malinga ,Mumbai Indians
Rp Singh ,Mumbai Indians
Dhawal Kulkarni ,Mumbai Indians
Tillakaratne Dilshan ,Royal Challengers Bangalore
Chris Gayle ,Royal Challengers Bangalore
Virat Kohli (c),Royal Challengers Bangalore
Ab De Villiers (wk),Royal Challengers Bangalore
Saurabh Tiwary ,Royal Challengers Bangalore
Mayank Agarwal ,Royal Challengers Bangalore
Vinay Kumar ,Royal Challengers Bangalore
Zaheer Khan ,Royal Challengers Bangalore
Harshal Patel ,Royal Challengers Bangalore
Muttiah Muralitharan ,Royal Challengers Bangalore
Prasanth Parameswaran Duplicate ,Royal Challengers Bangalore
Gautam Gambhir (c),Kolkata Knight Riders
Brendon Mccullum (wk),Kolkata Knight Riders
Jacques Kallis ,Kolkata Knight Riders
Manoj Tiwary ,Kolkata Knight Riders
Shakib Al Hasan ,Kolkata Knight Riders
Yusuf Pathan ,Kolkata Knight Riders
Debabrata Das ,Kolkata Knight Riders
Rajat Bhatia ,Kolkata Knight Riders
Iqbal Abdulla ,Kolkata Knight Riders
Sunil Narine ,Kolkata Knight Riders
Lakshmipathy Balaji ,Kolkata Knight Riders
David Warner ,Delhi Daredevils
Unmukt Chand ,Delhi Daredevils
Mahela Jayawardene (c),Delhi Daredevils
Naman Ojha (wk),Delhi Daredevils
Venugopal Rao ,Delhi Daredevils
Irfan Pathan ,Delhi Daredevils
Andre Russell ,Delhi Daredevils
Pawan Negi ,Delhi Daredevils
Varun Aaron ,Delhi Daredevils
Morne Morkel ,Delhi Daredevils
Umesh Yadav ,Delhi Daredevils
Rahul Dravid (c),Rajasthan Royals
Ajinkya Rahane ,Rajasthan Royals
Shane Watson ,Rajasthan Royals
Owais Shah ,Rajasthan Royals
Stuart Binny ,Rajasthan Royals
Johan Botha ,Rajasthan Royals
Shreevats Goswami (wk),Rajasthan Royals
Ashok Menaria ,Rajasthan Royals
Ajit Chandila ,Rajasthan Royals
Shaun Tait ,Rajasthan Royals
Siddharth Trivedi ,Rajasthan Royals
Chris Gayle ,Royal Challengers Bangalore
Tillakaratne Dilshan ,Royal Challengers Bangalore
Virat Kohli (c),Royal Challengers Bangalore
Saurabh Tiwary ,Royal Challengers Bangalore
Ab De Villiers (wk),Royal Challengers Bangalore
Mayank Agarwal ,Royal Challengers Bangalore
Vinay Kumar ,Royal Challengers Bangalore
Zaheer Khan ,Royal Challengers Bangalore
Harshal Patel ,Royal Challengers Bangalore
Muttiah Muralitharan ,Royal Challengers Bangalore
Prasanth Parameswaran Duplicate ,Royal Challengers Bangalore
Michael Hussey ,Chennai Super Kings
Murali Vijay ,Chennai Super Kings
Suresh Raina ,Chennai Super Kings
Ms Dhoni (c)(wk),Chennai Super Kings
Dwayne Bravo ,Chennai Super Kings
Ravindra Jadeja ,Chennai Super Kings
Srikkanth Anirudha ,Chennai Super Kings
Albie Morkel ,Chennai Super Kings
Ravichandran Ashwin ,Chennai Super Kings
Ben Hilfenhaus ,Chennai Super Kings
Yo Mahesh ,Chennai Super Kings
Gautam Gambhir (c),Kolkata Knight Riders
Brendon Mccullum (wk),Kolkata Knight Riders
Jacques Kallis ,Kolkata Knight Riders
Manoj Tiwary ,Kolkata Knight Riders
Yusuf Pathan ,Kolkata Knight Riders
Shakib Al Hasan ,Kolkata Knight Riders
Debabrata Das ,Kolkata Knight Riders
Rajat Bhatia ,Kolkata Knight Riders
Iqbal Abdulla ,Kolkata Knight Riders
Sunil Narine ,Kolkata Knight Riders
Lakshmipathy Balaji ,Kolkata Knight Riders
Mandeep Singh ,Punjab Kings
Shaun Marsh ,Punjab Kings
Nitin Saini (wk),Punjab Kings
Azhar Mahmood ,Punjab Kings
David Hussey (c),Punjab Kings
David Miller ,Punjab Kings
Gurkeerat Mann Singh ,Punjab Kings
Piyush Chawla ,Punjab Kings
Praveen Kumar ,Punjab Kings
Parvinder Awana ,Punjab Kings
Harmeet Singh Bansal ,Punjab Kings
Murali Vijay ,Chennai Super Kings
Michael Hussey ,Chennai Super Kings
Suresh Raina ,Chennai Super Kings
Ms Dhoni (c)(wk),Chennai Super Kings
Ravindra Jadeja ,Chennai Super Kings
Faf Du Plessis ,Chennai Super Kings
Srikkanth Anirudha ,Chennai Super Kings
Dwayne Bravo ,Chennai Super Kings
Ravichandran Ashwin ,Chennai Super Kings
Ben Hilfenhaus ,Chennai Super Kings
Shadab Jakati ,Chennai Super Kings
Herschelle Gibbs ,Mumbai Indians
Sachin Tendulkar ,Mumbai Indians
Rohit Sharma ,Mumbai Indians
Dinesh Karthik (wk),Mumbai Indians
Ambati Rayudu ,Mumbai Indians
Dwayne Smith ,Mumbai Indians
Kieron Pollard ,Mumbai Indians
Harbhajan Singh (c),Mumbai Indians
Lasith Malinga ,Mumbai Indians
Rp Singh ,Mumbai Indians
Munaf Patel ,Mumbai Indians
Parthiv Patel (wk),Deccan Chargers
Shikhar Dhawan ,Deccan Chargers
Kumar Sangakkara (c),Deccan Chargers
Cameron White ,Deccan Chargers
Dan Christian ,Deccan Chargers
Abhishek Jhunjhunwala ,Deccan Chargers
Ashish Reddy ,Deccan Chargers
Amit Mishra ,Deccan Chargers
Dale Steyn ,Deccan Chargers
Manpreet Gony ,Deccan Chargers
Tp Sudhindra ,Deccan Chargers
Jesse Ryder ,Pune Warriors India
Sourav Ganguly (c),Pune Warriors India
Robin Uthappa (wk),Pune Warriors India
Callum Ferguson ,Pune Warriors India
Anustup Majumdar ,Pune Warriors India
Angelo Mathews ,Pune Warriors India
Steve Smith ,Pune Warriors India
Bhuvneshwar Kumar ,Pune Warriors India
Rahul Sharma ,Pune Warriors India
Murali Kartik ,Pune Warriors India
Ashish Nehra ,Pune Warriors India
David Warner ,Delhi Daredevils
Virender Sehwag (c),Delhi Daredevils
Mahela Jayawardene ,Delhi Daredevils
Naman Ojha (wk),Delhi Daredevils
Yogesh Nagar ,Delhi Daredevils
Venugopal Rao ,Delhi Daredevils
Irfan Pathan ,Delhi Daredevils
Roelof Van Der Merwe ,Delhi Daredevils
Morne Morkel ,Delhi Daredevils
Varun Aaron ,Delhi Daredevils
Umesh Yadav ,Delhi Daredevils
Herschelle Gibbs ,Mumbai Indians
Sachin Tendulkar ,Mumbai Indians
Rohit Sharma ,Mumbai Indians
Dinesh Karthik (wk),Mumbai Indians
Ambati Rayudu ,Mumbai Indians
Dwayne Smith ,Mumbai Indians
Kieron Pollard ,Mumbai Indians
Harbhajan Singh (c),Mumbai Indians
Lasith Malinga ,Mumbai Indians
Pragyan Ojha ,Mumbai Indians
Munaf Patel ,Mumbai Indians
Tillakaratne Dilshan ,Royal Challengers Bangalore
Chris Gayle ,Royal Challengers Bangalore
Virat Kohli (c),Royal Challengers Bangalore
Ab De Villiers (wk),Royal Challengers Bangalore
Mayank Agarwal ,Royal Challengers Bangalore
Saurabh Tiwary ,Royal Challengers Bangalore
Vinay Kumar ,Royal Challengers Bangalore
Zaheer Khan ,Royal Challengers Bangalore
Harshal Patel ,Royal Challengers Bangalore
Muttiah Muralitharan ,Royal Challengers Bangalore
Kp Appanna ,Royal Challengers Bangalore
Murali Vijay ,Chennai Super Kings
Michael Hussey ,Chennai Super Kings
Suresh Raina ,Chennai Super Kings
Dwayne Bravo ,Chennai Super Kings
Ms Dhoni (c)(wk),Chennai Super Kings
Ravindra Jadeja ,Chennai Super Kings
Srikkanth Anirudha ,Chennai Super Kings
Albie Morkel ,Chennai Super Kings
Yo Mahesh ,Chennai Super Kings
Ravichandran Ashwin ,Chennai Super Kings
Ben Hilfenhaus ,Chennai Super Kings
David Warner ,Delhi Daredevils
Virender Sehwag (c),Delhi Daredevils
Mahela Jayawardene ,Delhi Daredevils
Naman Ojha (wk),Delhi Daredevils
Irfan Pathan ,Delhi Daredevils
Yogesh Nagar ,Delhi Daredevils
Venugopal Rao ,Delhi Daredevils
Andre Russell ,Delhi Daredevils
Morne Morkel ,Delhi Daredevils
Varun Aaron ,Delhi Daredevils
Shahbaz Nadeem ,Delhi Daredevils
Tillakaratne Dilshan ,Royal Challengers Bangalore
Chris Gayle ,Royal Challengers Bangalore
Virat Kohli (c),Royal Challengers Bangalore
Saurabh Tiwary ,Royal Challengers Bangalore
Ab De Villiers (wk),Royal Challengers Bangalore
Mayank Agarwal ,Royal Challengers Bangalore
Syed Mohammad ,Royal Challengers Bangalore
Zaheer Khan ,Royal Challengers Bangalore
Harshal Patel ,Royal Challengers Bangalore
Vinay Kumar ,Royal Challengers Bangalore
Muttiah Muralitharan ,Royal Challengers Bangalore
Shaun Marsh ,Punjab Kings
Mandeep Singh ,Punjab Kings
Nitin Saini (wk),Punjab Kings
David Hussey (c),Punjab Kings
David Miller ,Punjab Kings
Azhar Mahmood ,Punjab Kings
Siddharth Chitnis ,Punjab Kings
Piyush Chawla ,Punjab Kings
Ramesh Powar ,Punjab Kings
Praveen Kumar ,Punjab Kings
Parvinder Awana ,Punjab Kings
Rahul Dravid (c),Rajasthan Royals
Ajinkya Rahane ,Rajasthan Royals
Shane Watson ,Rajasthan Royals
Owais Shah ,Rajasthan Royals
Ashok Menaria ,Rajasthan Royals
Johan Botha ,Rajasthan Royals
Stuart Binny ,Rajasthan Royals
Dishant Yagnik (wk),Rajasthan Royals
Ankeet Chavan ,Rajasthan Royals
Shaun Tait ,Rajasthan Royals
Siddharth Trivedi ,Rajasthan Royals
Gautam Gambhir (c),Kolkata Knight Riders
Brendon Mccullum (wk),Kolkata Knight Riders
Jacques Kallis ,Kolkata Knight Riders
Manoj Tiwary ,Kolkata Knight Riders
Yusuf Pathan ,Kolkata Knight Riders
Debabrata Das ,Kolkata Knight Riders
Laxmi Ratan Shukla ,Kolkata Knight Riders
Rajat Bhatia ,Kolkata Knight Riders
Brett Lee ,Kolkata Knight Riders
Pradeep Sangwan ,Kolkata Knight Riders
Sunil Narine ,Kolkata Knight Riders
Daniel Harris ,Deccan Chargers
Shikhar Dhawan ,Deccan Chargers
Parthiv Patel (wk),Deccan Chargers
Cameron White ,Deccan Chargers
